,polygon_id,leafing,isFlowerin,date,rccM,gccM,bccM,ExGM,gvM,npvM,shadowM,rSD,gSD,bSD,ExGSD,gvSD,npvSD,gcorSD,gcorMD,entropy,elevSD
0,0024a31f-d7eb-4df3-b03f-79ca438a9080_2019-05-31,100.0,no,2019_05_31,0.3544164991230574,0.3973112353070679,0.24827226556987483,68.75267243374428,0.7529059974402748,0.10473182866889413,0.35529836779350044,19.948440983282755,19.223574904485524,16.3393525611253,9.686171458653225,0.12625875562382732,0.11493826924434086,0.002827124439308988,0.9863580402503231,3.4349198059980974,3.6438894507451325
1,0024a31f-d7eb-4df3-b03f-79ca438a9080_2021-03-25,100.0,no,2021_03_25,0.358843046506636,0.40184029281803635,0.23931666067532772,75.57635972549421,0.8423447763628894,0.10532436808084557,0.23725162342087186,25.291820598426096,25.042850891272593,21.706679268236602,7.6816366164179515,0.10438764308765504,0.11332142899148254,0.006268221778146323,0.9752202825667796,3.575818548581463,0.9179693558916457
2,0024a31f-d7eb-4df3-b03f-79ca438a9080_2022-07-27,100.0,no,2022_07_27,0.3518359344217248,0.35092126297594456,0.29724280260233066,23.389710064237264,0.38558023596888047,0.6488786566466908,-0.06052196041867788,44.86329651749105,43.5668617460473,41.86506032455386,16.695906946012492,0.1852230072270333,0.240993769576299,0.0042424509053640555,0.9821258879672603,3.3491970874120924,4.843953675331587
3,0024a31f-d7eb-4df3-b03f-79ca438a9080_2022-11-24,100.0,no,2022_11_24,0.3529373093496449,0.346931600935267,0.30013108971508823,17.89185184033742,0.3445954381429244,0.6948484068964925,-0.17715703639339428,34.415605077616135,32.36718433699541,32.92628707390363,13.471868008335287,0.1354259578401479,0.21415606441461746,0.0037032713077299368,0.9844195176484678,3.6426560454069246,5.506829766048339
4,0024a31f-d7eb-4df3-b03f-79ca438a9080_2023-02-28,100.0,no,2023_02_28,0.34839641904611923,0.38995734919704494,0.26164623175683577,72.38203825910698,0.774604676699306,0.16132555503163476,0.6272550721070763,24.02415077662435,22.477378655527232,21.773641571144317,14.474143282662597,0.12977134562395923,0.18450238056341675,0.004398435709604412,0.9793231617311362,3.7058704579471042,2.5770982984398048
5,0024a31f-d7eb-4df3-b03f-79ca438a9080_2023-03-21,100.0,no,2023_03_21,0.36792860535927463,0.41446063148486406,0.21761076315586134,92.85140827652306,1.0551487302097964,0.05478752892342889,-0.021649639331576685,30.049728723095555,30.05174471109355,23.108241062272786,13.664937665631221,0.17120230619006535,0.13196352235195297,0.0030333932712553967,0.9878240563900204,3.4119687478054708,3.7700155813232556
6,0024a31f-d7eb-4df3-b03f-79ca438a9080_2023-04-18,100.0,no,2023_04_18,0.3564327053485784,0.36183475932943454,0.2817325353219871,37.987370790551225,0.5428153717319275,0.5440908107242902,-0.17266418847443998,35.88798402880974,34.054912910228225,29.442632233808865,9.21520210727691,0.12216961746023089,0.1920783320482343,0.004311334668959272,0.9818458289056471,3.656821311688962,3.383109501016885
7,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2018-04-04,100.0,yes,2018_04_04,0.34756802425951383,0.3460385249807117,0.30639345075977437,19.238809223912412,0.3349810409383269,0.7334088682800471,0.11752541472832286,35.10479566133524,33.95901208166433,33.17244626053838,9.567138902762196,0.09526965157809306,0.1871051903892279,0.0029517346090049993,0.9852171124383089,3.45489301498946,2.8236164418674625
8,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2018-04-25,100.0,no,2018_04_25,0.3968570159226136,0.4270829203969419,0.1760600636804445,112.57588227088854,1.4140566067253424,0.13022515856796268,-1.174159552623158,29.150610710454263,29.147198538769604,23.961812760103136,21.18664431527507,0.2754625621005452,0.13414547691281395,0.014457044363308668,0.9461653237003727,4.340107075173466,1.4209990723322976
9,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2018-07-24,100.0,no,2018_07_24,0.34930444326917715,0.351505199905326,0.2991903568254968,24.322436670687576,0.3782661208271879,0.6237070334973742,0.06307404514335199,37.530094447961744,35.13271779258087,34.220739601768464,12.81254827433273,0.12094679921927011,0.23003792182176594,0.0031005518354860636,0.9855561774934802,3.383696518884283,6.259846955957072
