,field_1,polygon_id,leafing,isFlowerin,date,rccM,gccM,bccM,ExGM,gvM,npvM,shadowM,rSD,gSD,bSD,ExGSD,gvSD,npvSD,gcorSD,gcorMD,entropy,elevSD,leafing_predicted,bias
2252,2252,b46f9eca-3c1a-4e32-ace7-a26cd80f1bed_2023-10-31,85.0,yes,2023_10_31,0.3811979261999545,0.3894563650641337,0.2293457087359118,83.68490406915454,1.1488851215927451,0.4680359540403632,-1.162920170534074,34.04300776250704,33.30573062483518,24.99042783822234,25.098489484228164,0.3161716096196304,0.1838547580441736,0.0049488903831397,0.976895224351094,3.148004776240046,2.29457939199429,93.73751831054688,8.737518310546875
1255,1255,5cd2e4cc-a553-4b4f-9c37-42084cba72aa_2020-09-21,90.0,yes,2020_09_21,0.3612187511313998,0.3952325151390866,0.2435487337295134,76.8186993038933,0.8964561561053297,0.2143759952837784,0.0454699871256218,38.48830309658922,36.91889580045151,31.978233808533638,15.560589234935058,0.2125680394023329,0.2007993478921693,0.0088389775639117,0.9645558876901112,4.063116007860511,0.9677873053695284,98.74170684814453,8.741706848144531
869,869,41517f95-b008-4772-b4d2-3606e1942cc1_2023-05-02,60.0,no,2023_05_02,0.3643146042978329,0.3501189917052432,0.2855664039969239,18.629951286177175,0.3850283423549013,0.6235577313799848,-0.5953166488007485,29.04787113977428,27.469950115601087,26.92991511154099,11.147517490985852,0.0943055624578684,0.1895728899007072,0.0056155412373787,0.9772956475073704,3.325519807797585,2.840475184047754,68.85050201416016,8.850502014160156
940,940,48aa773c-82c6-4b79-aecf-d9ee36038bf8_2021-02-25,90.0,yes,2021_02_25,0.3619397649328426,0.3959547982222708,0.2421054368448864,79.78674811298731,0.936897944532286,0.2112849321392481,-0.0257925126343014,40.63215071350306,38.819224388156776,29.374290477603708,20.265181474740327,0.3021823103900155,0.1990182535455923,0.010910743338896,0.9550612774943912,4.159963424335272,2.232059420135825,98.88970184326172,8.889701843261719
354,354,10eb53e8-c12d-4bb2-8204-508dab1244d8_2023-09-12,88.75,,2023_09_12,0.3506641728087332,0.370505871605331,0.2788299555859358,51.41213356160787,0.6239315881128283,0.4216938195913775,0.2716956818893734,28.9175258809388,26.312779103958047,26.119675411609386,9.220446535599848,0.0839061439961505,0.1916008946181687,0.0045476386527473,0.9797610475636284,3.6540564391440458,2.50351706401483,97.7103042602539,8.960304260253906
621,621,30fe407e-ba4b-4a3d-9bfc-fcd1f93bcc86_2023-07-26,0.0,no,2023_07_26,0.35279233664195,0.3534127996085968,0.2937948637494532,28.285464921114468,0.4411186390223222,0.6559338975022858,-0.0538146988626493,47.8342258549143,47.431220110393895,46.24221643357258,23.463229577485745,0.2374282182901246,0.2835317495927495,0.0073852951918142,0.97022613898336,3.5206199313133766,2.3383814614240945,9.430315017700195,9.430315017700195
1562,1562,76424c7c-518a-415d-bcb8-b8933683c2ed_2022-11-24,55.0,,2022_11_24,0.3350707537799325,0.3656943290647587,0.2992349171553089,48.87744069807861,0.5101182238566495,0.4088739727254148,1.0446692860346805,47.5289693108568,44.7805973584991,41.10904506698106,27.21985079854572,0.263750168947075,0.3423666740974467,0.0052927942071306,0.9778192068145428,3.3567495018355125,3.7043046082046023,64.62938690185547,9.629386901855469
1554,1554,76424c7c-518a-415d-bcb8-b8933683c2ed_2020-01-24,0.0,no,2020_01_24,0.3454808279860041,0.3600694574572116,0.294449714556784,26.471001305534674,0.3636522931924079,0.5326803086418539,0.2718362506773572,69.64946521567991,68.0852864130724,68.00243834447458,29.520463094569,0.2747940738047298,0.4260919517965115,0.0101298886390229,0.9609747922994992,3.4559267628943244,5.60014268358285,9.960973739624023,9.960973739624023
423,423,1b2d824f-e332-48a7-900c-36972643cdc6_2024-02-08,0.0,no,2024_02_08,0.3575104190636772,0.3470611930644985,0.2954283878718242,21.283146404966956,0.4367657046785468,0.8323658449562773,-0.4509980894869165,33.261366746993204,32.23757806942115,32.57985679433338,8.800525702537682,0.0827028886682213,0.1818711269825629,0.0034596229655203,0.98239616285792,3.517777910880523,1.5092412913885762,10.830536842346191,10.830536842346191
1459,1459,6d8feebe-e21b-4031-8b62-2c68228d16fa_2023-11-14,50.0,no,2023_11_14,0.3740511231504955,0.3599296443763162,0.2660192324731883,37.04887758534923,0.672142503763631,0.7506781224997345,-1.1298111883963615,40.17164839179664,38.23711024569793,35.70265324842895,12.317665370516282,0.143257040717269,0.2273272368530568,0.0038537629621817,0.98518924703169,3.782140534291376,10.65709763881529,60.92755126953125,10.92755126953125
2057,2057,a366d4f8-2abc-4a52-aefe-20f8466233db_2023-07-11,20.0,yes,2023_07_11,0.3367243123455318,0.3471745911196133,0.316101096534855,18.158255675788123,0.2354446995844607,0.5976430119663741,0.7044618952243384,33.242900701282466,30.054745829959906,34.244078597014834,17.912895539979502,0.1448616137626943,0.2633506845771162,0.0073673894245967,0.9706509148835356,4.281133671088203,2.531775666041654,31.416908264160156,11.416908264160156
568,568,2c0909f5-e0a9-465a-b32c-2f0a9b89d4dd_2023-03-28,0.0,,2023_03_28,0.3411361742184747,0.359790672782407,0.2990731529991182,29.10050168966698,0.3523909783562181,0.418738411789873,0.461435086111988,53.66188018627635,52.11186255026792,49.99547166345728,24.29382197740153,0.25549593779455,0.3139508286345541,0.0099608738412984,0.9598362314142924,3.569484891344336,1.7225343757335922,11.499939918518066,11.499939918518066
240,240,08c4ec87-3de9-40d7-b64e-d3a85534739e_2022-04-27,0.0,,2022_04_27,0.3588196704405474,0.356518552248782,0.2846617773106706,33.06603693302698,0.5314314984302343,0.7001379716585385,-0.3208384427826363,48.64448119593057,48.09545142609685,49.088741396254974,23.39525739566425,0.2390381107304341,0.2856624866022778,0.0064149711991154,0.972376478204761,3.220415889925736,4.760449563075387,12.149502754211426,12.149502754211426
2786,2786,e0fcabd2-7d25-4928-acc9-c0ae57254806_2024-01-03,70.0,yes,2024_01_03,0.3824932665607717,0.3872161608908252,0.2302905725484028,75.07053317366322,1.0658330510137397,0.4896039782898365,-1.2545688928379988,38.08069872357007,32.790274094963664,23.847255346153997,15.807015440899832,0.2973879972645794,0.2333292717238191,0.005294550994703,0.9760366698664694,3.722056158304301,2.394967455368284,83.50259399414062,13.502593994140625
2874,2874,ea0fd6e4-ef4b-4378-a1d1-015b0f060437_2018-04-04,0.0,,2018_04_04,0.3422213531764244,0.3312651956573445,0.326513451166231,-1.3808615376405768,0.0814816960060544,0.6534549056289175,0.1877384323930553,45.73844944605671,45.60323897774635,45.72932958274022,22.63516619912925,0.22470867059464,0.2699643073858794,0.0106932879909126,0.957188362742826,4.030798227056064,1.4258380560436026,13.684850692749023,13.684850692749023
76,76,02627951-bdea-4eb6-9875-414a3b4956f3_2021-02-25,20.0,no,2021_02_25,0.3382258256832066,0.3553030744601966,0.306471099856597,30.68555600313595,0.3554579804302946,0.5208229686417531,0.7689887462689395,39.262794612063416,38.00028167550846,41.550461866814246,22.5693943176384,0.2698301803080095,0.2393126160142315,0.0061693866338687,0.9776842424684046,3.585712267869697,7.525004173252005,33.7988166809082,13.798816680908203
2841,2841,e6f7ceaf-e736-45cb-90fe-3224cdca1c1d_2020-01-24,10.0,no,2020_01_24,0.3502480754911872,0.3618274802502255,0.2879244442585872,42.60331980818886,0.5683405570071952,0.6014736114654081,0.1681473559989122,53.694839241671794,53.48935118569633,49.49290407000421,20.87723032145645,0.2236248864995005,0.2776102107467258,0.0066524577201798,0.9727996627091992,3.590808501648095,6.465459244003955,23.870473861694336,13.870473861694336
1461,1461,6d8feebe-e21b-4031-8b62-2c68228d16fa_2024-01-03,0.0,,2024_01_03,0.3446133767618194,0.3491642419116895,0.3062223813264907,21.303993792796025,0.3199223652012366,0.6280845456948033,0.297848702990061,37.43994224505218,35.11475198987701,36.13723772960843,14.2074144474617,0.1235722516517318,0.2426438332031135,0.0030334207280993,0.9875639127177536,3.25371774734204,9.99248358909979,14.013666152954102,14.013666152954102
1894,1894,9adf88db-a296-4aca-a8dc-3c6ed9493244_2022-04-27,80.0,,2022_04_27,0.3589494654207264,0.4010861763276296,0.2399643582516439,88.12847865349883,0.9924871927913675,0.1517629817978111,0.2296355384997165,40.46907939015019,38.92034399597197,35.52134196297902,24.25523018306609,0.25591821485331,0.2650481585939355,0.0074789457451597,0.9692221365441483,3.9574188568372257,4.850193738660416,94.9317398071289,14.931739807128906
532,532,26b43ba8-6072-44c4-bbda-66bb6d5183d3_2023-04-18,0.0,no,2023_04_18,0.3441690589018881,0.343584610161243,0.3122463309368691,14.567904845471386,0.2595075826392309,0.6842244483662162,0.2495765827423051,38.63225912246252,37.60827253691284,35.71078170997281,10.080219760455424,0.1200204912474703,0.1966612307179008,0.0072761127054842,0.971741503162618,3.86289020727999,0.9733022067326508,15.00885009765625,15.00885009765625
2787,2787,e13a0c28-3117-4de4-a3a8-42c3103e9754_2019-05-31,70.0,yes,2019_05_31,0.3383194093915317,0.4059720287618815,0.2557085618465866,90.77979183205431,0.8771038655371741,-0.0457227619256939,1.2512710890940386,41.90474565852965,41.06016401673603,34.91576541484368,23.41364739231716,0.1856017601508229,0.3474365671157631,0.011557145041372,0.9565138411455668,4.086764470655995,1.0352598559736763,85.8326416015625,15.8326416015625
