,polygon_id,leafing_predicted,leafing
0,52f1f550-4e8b-485f-ad85-de7115173ed9_2023-04-25,1.4270789623260498,0.0
1,31d95e2f-f47b-49c9-ba99-46e69ba579b5_2023-02-28,0.3278908133506775,0.0
2,31d95e2f-f47b-49c9-ba99-46e69ba579b5_2023-05-23,0.9460903406143188,0.0
3,76424c7c-518a-415d-bcb8-b8933683c2ed_2018-08-27,95.78280639648438,100.0
4,b19d8062-e35f-431c-852f-f7f1adf57f02_2019-10-17,89.02972412109375,100.0
5,75e480c4-9d0a-44d2-94e5-6923db02a122_2024-02-08,55.98500061035156,30.0
6,83d7db1d-e646-4351-9c46-db29444f83e0_2018-08-27,84.18367767333984,100.0
7,b64d553c-5249-4054-92c2-17f38034c737_2023-06-21,90.26119232177734,100.0
8,6a2da674-c85f-45c3-82e0-562b759cd8e8_2019-05-31,93.38054656982422,100.0
9,4a1431a3-07aa-4221-a614-eec52bb2f69d_2022-11-24,93.45335388183594,100.0
10,863c2193-248a-4de0-bf32-d1395a91147e_2019-01-28,37.216590881347656,5.0
11,28c5f379-4d2d-422c-b7f3-ba108c76ef22_2019-10-17,88.45479583740234,100.0
12,078e0ab3-42ac-4a64-b96b-09cdf590f024_2023-04-04,2.6631758213043213,0.0
13,14c7509c-1ea2-4d48-953e-cec5424e14b7_2019-06-27,29.911849975585938,45.0
14,49929569-ee2f-4b32-bcb2-52bb5b87c147_2024-02-08,78.77050018310547,100.0
15,54cc22ba-640a-42b9-bae0-eb02554086cf_2024-02-08,44.35726547241211,50.0
16,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-09-19,84.07506561279297,100.0
17,3114b957-7d1a-489a-936c-77ac943c433e_2023-07-26,20.1527099609375,10.0
18,c610d05b-81e1-4611-a573-e9719f8cc0c4_2020-09-21,95.14260864257812,100.0
19,fc0fdb29-e463-4918-a3e8-c707b64f0bcc_2021-12-28,28.45275115966797,5.0
20,38779fc6-7cf0-4675-9bab-205979e6dbfe_2018-04-25,84.35686492919922,100.0
21,9f1c84a1-5eca-4d4c-b2dc-fb31071985a2_2023-04-11,95.96080017089844,100.0
22,2ee6be2e-40b0-486e-a574-000744dfe229_2018-04-25,49.562931060791016,98.0
23,0fae064a-282a-4ca5-ae26-2e31937efe07_2020-05-27,97.24047088623047,100.0
24,b5c7e66c-b3f3-4728-be7b-69f829d2117f_2019-01-28,89.58341217041016,100.0
25,24a5f646-9ef6-4e62-89fe-963cd03a3d0f_2023-05-02,2.483177900314331,0.0
26,0a3817e8-3335-4508-be71-2bd98ce68dda_2019-12-26,94.66143798828125,100.0
27,31d95e2f-f47b-49c9-ba99-46e69ba579b5_2023-08-08,90.36671447753906,100.0
28,26b43ba8-6072-44c4-bbda-66bb6d5183d3_2023-07-11,65.09025573730469,30.0
29,5751d76f-ff25-4f79-a77c-6fb36d4cf52b_2023-08-08,101.17615509033203,40.0
30,9adf88db-a296-4aca-a8dc-3c6ed9493244_2021-09-29,95.9480209350586,100.0
31,c1631b71-e3df-4b44-9c62-c587197bd7d4_2023-07-11,90.49834442138672,100.0
32,4d2ed36b-8e7b-4eb7-a519-3bc67e91efc7_2019-12-26,82.28628540039062,100.0
