,area,score,tag,GlobalID,iou,date,latin,polygon_id,leafing_predicted,dayYear,year,date_num,isFlowering,isFruiting
22,194.584011392063,0.986873030662537,3875,d1d6273f-2936-44b6-8266-ba25f8394aa9,0.744364827884174,2018-04-04,Dipteryx oleifera,d1d6273f-2936-44b6-8266-ba25f8394aa9_2018-04-04,25.255478,94,2018,0,,
23,412.00129606903766,0.98469066619873,465,badee35d-7b09-4d87-9b4a-b052af7c3749,0.729568822923203,2018-04-04,Dipteryx oleifera,badee35d-7b09-4d87-9b4a-b052af7c3749_2018-04-04,2.5233476,94,2018,0,,
24,348.94091986997006,0.972469687461853,3711,3b4679bd-76b6-43fe-b740-9f274fea7195,0.726975216128829,2018-04-04,Dipteryx oleifera,3b4679bd-76b6-43fe-b740-9f274fea7195_2018-04-04,1.2105712,94,2018,0,,
25,419.63032906787566,0.980838775634766,1441,3bcbd33f-0d46-459c-8905-28081ca87b8c,0.69913641663297,2018-04-04,Dipteryx oleifera,3bcbd33f-0d46-459c-8905-28081ca87b8c_2018-04-04,2.5440059,94,2018,0,,
26,445.456515058731,0.970447897911072,7168,d47b3678-9f11-4811-9930-c969df5fac0e,0.679136959410724,2018-04-04,Dipteryx oleifera,d47b3678-9f11-4811-9930-c969df5fac0e_2018-04-04,13.231942,94,2018,0,,
27,235.57178333117992,0.961540460586548,5440,bcf59fd0-ef26-40d0-9f77-91800fe1b656,0.671219625726496,2018-04-04,Dipteryx oleifera,bcf59fd0-ef26-40d0-9f77-91800fe1b656_2018-04-04,56.182297,94,2018,0,,
28,826.3851415803038,0.973692893981934,4186,078e0ab3-42ac-4a64-b96b-09cdf590f024,0.984260011607669,2018-04-25,Dipteryx oleifera,078e0ab3-42ac-4a64-b96b-09cdf590f024_2018-04-25,99.52296,115,2018,21,,
29,479.599281351921,0.973692893981934,3711,3b4679bd-76b6-43fe-b740-9f274fea7195,0.949552544055676,2018-04-25,Dipteryx oleifera,3b4679bd-76b6-43fe-b740-9f274fea7195_2018-04-25,96.208664,115,2018,21,,
30,634.6752200966073,0.994418025016785,7715,6bf8d1d5-9961-4b9f-a019-a8c31949f892,0.942768898672829,2018-04-25,Dipteryx oleifera,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2018-04-25,22.068089,115,2018,21,,
31,976.453257945483,0.973359942436218,1342,d6b6e4ed-8feb-499a-838c-a788619747da,0.922412859612494,2018-04-25,Dipteryx oleifera,d6b6e4ed-8feb-499a-838c-a788619747da_2018-04-25,98.33563,115,2018,21,,
32,494.35057319331673,0.975789666175842,465,badee35d-7b09-4d87-9b4a-b052af7c3749,0.922349529513067,2018-04-25,Dipteryx oleifera,badee35d-7b09-4d87-9b4a-b052af7c3749_2018-04-25,99.05048,115,2018,21,,
33,242.19437707276592,0.980997800827026,2854,71e9d737-3268-4975-a45d-3ec5b2bdb355,0.916152469593521,2018-04-25,Dipteryx oleifera,71e9d737-3268-4975-a45d-3ec5b2bdb355_2018-04-25,53.341957,115,2018,21,,
34,409.920373729364,0.993179798126221,1441,3bcbd33f-0d46-459c-8905-28081ca87b8c,0.914735905381191,2018-04-25,Dipteryx oleifera,3bcbd33f-0d46-459c-8905-28081ca87b8c_2018-04-25,99.49431,115,2018,21,,
35,188.0335237928192,0.993107676506042,138502,a230d4dd-a9f9-4aa0-8432-ae08e0067648,0.903943141706575,2018-04-25,Dipteryx oleifera,a230d4dd-a9f9-4aa0-8432-ae08e0067648_2018-04-25,55.88297,115,2018,21,,
36,375.3409082629853,0.994418025016785,7221,922bf85b-f020-438d-91b7-86a2b5645b25,0.888016118635539,2018-04-25,Dipteryx oleifera,922bf85b-f020-438d-91b7-86a2b5645b25_2018-04-25,45.25675,115,2018,21,,
37,529.4398595552012,0.966754674911499,1907,c610d05b-81e1-4611-a573-e9719f8cc0c4,0.885526358364461,2018-04-25,Dipteryx oleifera,c610d05b-81e1-4611-a573-e9719f8cc0c4_2018-04-25,38.849472,115,2018,21,,
38,163.3407244934415,0.978771686553955,7058,58e2c5dc-995d-41d2-9937-3b3edef36b44,0.882477640025433,2018-04-25,Dipteryx oleifera,58e2c5dc-995d-41d2-9937-3b3edef36b44_2018-04-25,45.71006,115,2018,21,,
39,370.4407373071177,0.980732321739197,2619,81999dbd-1379-4dcb-9d85-3362649f7abc,0.878129712688085,2018-04-25,Dipteryx oleifera,81999dbd-1379-4dcb-9d85-3362649f7abc_2018-04-25,83.77841,115,2018,21,,
40,380.9804210751968,0.974703252315521,4153,fc641d4a-4e79-46c5-9b37-592ab13d31bf,0.875164013034597,2018-04-25,Dipteryx oleifera,fc641d4a-4e79-46c5-9b37-592ab13d31bf_2018-04-25,4.4748797,115,2018,21,,
41,369.39773718883765,0.973359942436218,670,e03db8cf-6139-4e0b-96da-27a7b4d68ef8,0.865412938116961,2018-04-25,Dipteryx oleifera,e03db8cf-6139-4e0b-96da-27a7b4d68ef8_2018-04-25,54.29239,115,2018,21,,
